[null]
[ed, s, en]
-1866966497,nothing to write home about,nada del otro mundo,NONE
-1866739292,band-aid,curita  ,NONE
-1866713328,sucrose,sacarosa,NOUN
-1866659627,suction,succionar,NONE
-1866543328,silver-tongued,de voz encantador,ADJECTIVE
-1866133604,wettability,mojabilidad,NOUN
-1865895925,superstitious,supersticioso,ADJECTIVE
-1865611972,amelioration,mejoría ,NONE
-1865142159,capillary,capilar ,NONE
-1864811305,diethylene glycol,dietilenglicol,NOUN
-1864561913,smart card,tarjeta inteligente,NOUN
-1864342170,bang out,chapucear,VERB
-1864306519,suffice,alcanzar,VERB
-1863897979,effortless,fácil,NONE
-1863857531,detection,detección,NOUN
-1863857323,detective,detective,NOUN
-1863749912,ununquadium,ununquadio,NOUN
-1863356540,suggest,insinuar,VERB
-1863251005,tenacious,tenaz,ADJECTIVE
-1863139349,call an ambulance,llame una ambulancia ,NONE
-1862350964,right triangle,triángulo rectángulo,NOUN
-1861881890,mutability,mutabilidad,NOUN
-1861874790,septic tank,,NOUN
-1861625298,suicide,suicidio,NOUN
-1861395819,theoretically,teóricamente,ADVERB
-1861304189,at first,al principio,PREPOSITION
-1860722555,butterfly stroke,mariposa,NOUN
-1860349465,suitable,apropiado,NONE
-1860290627,suitcase,maleta ,NONE
-1860080918,inspiration,inspiración,NOUN
-1860018168,banister,barandilla,NOUN
-1859825295,patent leather,charol ,NONE
-1859617486,sukhumi,Sujumi,PROPOSITIOIN
-1859448984,officeholder,funcionario,NOUN
-1858908237,golden rule,regla de oro,NOUN
-1858772554,sulfate,sulfato,NOUN
-1858770330,meteorological,meteorológico,ADJECTIVE
-1858765362,sulfide,sulfuro,NOUN
-1858724458,bankable,,ADJECTIVE
-1858641235,pencil sharpener,sacapuntas ,NONE
-1858512057,countenance,apariencia ,NONE
-1858324434,banknote,billete,NOUN
-1858199613,bankrupt,quebrado,NONE
-1857936683,sanctum sanctorum,sanctasanctórum,NOUN
-1857640538,summary,juizio apurado,ADJECTIVE
-1857044673,sunbath,baño de sol,NOUN
-1857025509,sunburn,quemadura solar,NOUN
-1856977988,sundial,reloj solar ,NONE
-1856971538,sundown,,NOUN
-1856969982,hairdresser,peluquero ,NONE
-1856917852,sunfish,pez luna,NOUN
-1856679496,sunnite,,NOUN
-1856560363,sunrise,amanecer,NONE
-1856560157,institutional,institucional,ADJECTIVE
-1856554720,sunroof,techo del sol,NONE
-1856523954,sunspot,mancha solar,NOUN
-1855898564,at least,al menos,NONE
-1855294116,articulated lorry,camión articulado  ,NONE
-1855221657,part-time,tiempo parcial ,NONE
-1854832907,isolationism,aislacionismo,NOUN
-1854767153,support,apoyo ,NONE
-1854767137,suppose,suponer,VERB
-1854724558,domodedovo,Domodédovo,PROPOSITIOIN
-1854717351,supreme,supremo ,NONE
-1854677466,counterfeit,contrahecho falsificado,ADJECTIVE
-1854538939,grave accent,acento grave,NOUN
-1854383121,counterpart,homólogo ,NONE
-1854293666,plumbery,,NOUN
-1854289964,plumbing,cañería,NOUN
-1854289803,plumbism,saturnismo,NOUN
-1854286193,countersink,avellanado,NOUN
-1854267270,cornigerous,,ADJECTIVE
-1854152606,forward slash,diagonal ,NONE
-1853739242,three-pronged,trifurcado,ADJECTIVE
-1853731605,gay marriage,matrimonio homosexual ,NONE
-1853399405,neurolinguistics,neurolingüística,NOUN
-1853231955,surface,superficie,NOUN
-1853197939,surgeon,cirujano,NOUN
-1853197835,surgery,cirugía,NOUN
-1853147785,atrocious,atroz,ADJECTIVE
-1853015234,surmise,suponer,NONE
-1852993317,surname,apellido,NOUN
-1852933535,surpass,sobrepasar,VERB
-1852922902,surplus,sobrante,NONE
-1852747022,survive,sobrevivir,VERB
-1852444559,susanna,Susana,PROPOSITIOIN
-1852188632,elementary school,,NOUN
-1852092784,anglophilia,anglofilia,NOUN
-1852009607,vomitive,vomitivo,ADJECTIVE
-1852006665,suspect,sospechar,VERB
-1851891165,sustain,sostener,VERB
-1851820288,wrinkled,arrugado,ADJECTIVE
-1851802283,oxygenation,oxigenación,NOUN
-1851301433,editorial,editorial,ADJECTIVE
-1850700026,first-degree burn,quemadura de primer grado,NOUN
-1850586520,kazakhstan,Kazajistán,PROPOSITIOIN
-1850395868,detergent,detergente,NOUN
-1850213293,determine,determinar,VERB
-1849418612,ornithological,ornitológico,ADJECTIVE
-1849349917,pennyroyal,poleo,NOUN
-1848987315,at stake,en juego,PREPOSITION
-1848769929,love rat,,NOUN
-1848729917,ontogeny,ontogenia,NOUN
-1848571569,ontology,ontología,NOUN
-1848380135,at times,a veces,PREPOSITION
-1848080501,member state,estado miembro,NOUN
-1848037262,snowball fight,pelea de bolas de nieve,NOUN
-1847846799,plutarch,Plutarco,PROPOSITIOIN
-1847742213,meteorologic,,ADJECTIVE
-1847524508,great red spot,Gran Mancha Roja,PROPOSITIOIN
-1847433388,plutonic,plutónico ,NONE
-1846853118,armageddon,Armagedón,PROPOSITIOIN
-1846811861,lovebird,tórtolo ,NONE
-1845925157,dizziness,mareo ,NONE
-1845833745,sideboard,aparador,NOUN
-1845763743,pluvious,pluvioso ,NONE
-1845638771,sideburns,patillas,NOUN
-1844703185,argentophilic,,ADJECTIVE
-1844640166,ombudsman,defensor del pueblo,NOUN
-1844543007,interviewee,entrevistado ,NONE
-1844320317,lottery ticket,cupón ,NONE
-1844164392,jaywalker,peatón imprudente,NOUN
-1843917483,ash gourd,,NOUN
-1842762372,lovingly,amorosamente,ADVERB
-1842635768,ghost of christmas past,Fantasma de las Navidades Pasadas,PROPOSITIOIN
-1842506655,collarbone,clavícula,NOUN
-1842256129,primarily,primariamente,ADVERB
-1842034392,racemization,racemización,NOUN
-1841882271,hypanthium,hipantio,NOUN
-1841495233,divination,divinidad,NOUN
-1841481474,duck soup,,NOUN
-1841465303,duck tape,cinta americana ,NONE
-1841420509,whimsical,caprichoso,ADJECTIVE
-1841231390,cockaigne,país de Cucaña,PROPOSITIOIN
-1841112702,upper volta,Alto Volta,PROPOSITIOIN
-1841096700,eigenfunction,autofunción ,NONE
-1841023919,European perch,perca ,NONE
-1841006761,crimean tatar,tártaro de Crimea,PROPOSITIOIN
-1840902039,cockatiel,ninfas,NONE
-1840898990,craniectomy,craniectomía,NOUN
-1840651232,translatese,,NOUN
-1840647503,translation,traslación,NOUN
-1840567753,collateral,aval,NOUN
-1840425518,guillemet,comillas,NOUN
-1840425208,guillemot,arao,NOUN
-1840228496,tip of the iceberg,punta del iceberg,NOUN
-1840178741,grade crossing,,NOUN
-1840125975,white mulberry,morera,NOUN
-1839843203,african elephant,elefante africano,NOUN
-1837403799,jacamar,jacamar,NOUN
-1837116862,jackass,idiota ,NONE
-1837114533,jackdaw,,NOUN
-1837102570,jackpot,bote,NOUN
-1837099693,jackson,,PROPOSITIOIN
-1836773699,verdigris,cardenillo,NOUN
-1836613956,cockfight,pelea de gallos,NOUN
-1836556545,port of spain,Puerto España,PROPOSITIOIN
-1836220475,microbiological,microbiológico,ADJECTIVE
-1836115728,verbal noun,nombre verbal,NOUN
-1836092394,supposed to,tener que,NONE
-1835746296,in depth,,ADJECTIVE
-1835616079,forgiveness,misericordia,NOUN
-1835435299,nondenominational,no sectario,ADJECTIVE
-1835351860,spoonful,cucharada,NOUN
-1834927319,by and large,en general,ADVERB
-1834808089,primitive,primitivo,ADJECTIVE
-1834375653,accompany,acompañar,VERB
-1834299840,rabble rouser,agitador,NOUN
-1834070532,monarchic,monárquico,ADJECTIVE
-1834056818,repatriation,repatriación,NOUN
-1833836952,madrilenian,madrileño,ADJECTIVE
-1833599952,in force,en vigor,ADJECTIVE
-1833538123,jaggery, tapa de dulce,NONE
-1833314610,clairvoyance,clarividencia,NOUN
-1833131399,semiconductor,semiconductor,NOUN
-1833073036,still life,bodegón,NOUN
-1832970883,sporadic,esporádico,ADJECTIVE
-1832961333,sporange,,NOUN
-1832643146,monastery,monasterio,NOUN
-1832593092,traitorous,traicionero,NONE
-1832545026,forget-me-not,nomeolvides,NOUN
-1832025688,title deed,escritura de propiedad ,NONE
-1831924868,adaptable,adaptable,NONE
-1831851657,supposition,suposición,NOUN
-1831845787,suppository,supositorio ,NONE
-1831734531,yourselves,sí mismos,NONE
-1831478681,jainism,jainismo,PROPOSITIOIN
-1831148821,dizzyness,,NOUN
-1830843683,cocha antshrike,batará de Cocha,NOUN
-1830683684,wood pulp,pasta de papel,NOUN
-1830323071,poetaster,poetastro,NOUN
-1830156390,epidemiologist,epidemiólogo,NOUN
-1830107832,accordion,acordeón,NOUN
-1830013864,air-condition,climatizar,NONE
-1829997390,destruction,destrucción,NOUN
-1829997182,destructive,destructivo,ADJECTIVE
-1829579540,vexation,vejación,NOUN
-1829010391,resentment,resentimiento,NOUN
-1828847957,jalisco,Jalisco,PROPOSITIOIN
-1828784721,ethnological,etnológico,ADJECTIVE
-1828642268,parsimony,parsimonia,NOUN
-1828434125,mao jacket,,NOUN
-1828427204,mesentery,mesenterio,NOUN
-1828172388,jamaica,Jamaica,PROPOSITIOIN
-1827743000,sympathetic nervous system,sistema nervioso simpático,NOUN
-1827279173,permanently,permanentemente,NONE
-1827219352,in the act,con las manos en la masa,PREPOSITION
-1827215183,in the end,al fin,NONE
-1827085044,brain-washing,lavado de cerebro,NOUN
-1826999579,janitor,portero ,NONE
-1826976123,chile pepper,,NOUN
-1826928140,accourage,,VERB
-1826919233,venatorial,,ADJECTIVE
-1826840960,sidewards,,ADJECTIVE
-1826824327,angel falls,Salto Ángel,PROPOSITIOIN
-1826660246,january,enero,PROPOSITIOIN
-1825832939,Saluki,Saluki ,NONE
-1825809219,Samoan,samoano ,NONE
-1825764467,conciliate,apaciguar,NONE
-1825671603,antshrike,batará ,NONE
-1825358891,cockroach,cucaracha,NOUN
-1825343262,japchae,japchae,NOUN
-1825212269,in order,para,ADVERB
-1824767663,psychrometer,psicrómetro,NOUN
-1824230015,invisible pink unicorn,Unicornio rosa invisible,PROPOSITIOIN
-1824222676,linoleic acid,ácido linoleico,NOUN
-1824020125,turbocompressor,,NOUN
-1823984173,emotionally,emocionalmente,ADVERB
-1823925775,custom-made,a medida,NONE
-1823913552,unbinilium,unbinilio,NOUN
-1823809266,cocktease,calientapollas,NOUN
-1823800947,high court,,NOUN
-1823214795,asymptomatic,asintomático,ADJECTIVE
-1823029745,overpriced,sobre-tasado,ADJECTIVE
-1822687399,translucent,translúcido ,NONE
-1822273425,jasmine,jazmín,NOUN
-1821719608,accounts payable,cuentas pendientes de pago ,NONE
-1821532784,Tanzanian,tanzano,NONE
-1821276688,moviehouse,,NOUN
-1820765506,exterior,,ADJECTIVE
-1820761141,external,externo,ADJECTIVE
-1820390204,cameroonian,camerunés,ADJECTIVE
-1820089252,potentate,líder,NONE
-1819963517,cut off one's nose to spite one's face,tirar piedras al o contra el propio tejado,VERB
-1819738453,javelin,jabalina,NOUN
-1819524659,data warehouse,almacén de datos,NOUN
-1819487885,meat and potatoes,común y corriente,ADJECTIVE
-1819121601,grease payment,coima,NOUN
-1818901276,jawbone,mandíbula,NOUN
-1818484230,Sikkim,Sikkim,NONE
-1818222661,kleptarchy,,NOUN
-1818034672,nay pyi taw,,PROPOSITIOIN
-1817706175,lowering,bajamiento,NOUN
-1817183550,headwaiter,jefe de comedor,NOUN
-1817159480,peaceable,pacífico,NONE
-1817091284,gastritis,gastritis,NOUN
-1817086188,moviemaker,,NOUN
-1816676798,Skene's gland,glándulas de Skene ,NONE
-1816548505,incapable,incapaz,ADJECTIVE
-1816442133,jaywalk,cruzar la calle sin prudencia,VERB
-1816440141,sweep something under the rug,tratar de tapar algo ilícito,VERB
-1816217962,dwarf planet,planeta enano,NOUN
-1815997559,ripuarian,fráncico ripuario,ADJECTIVE
-1815964847,tax haven,paraíso fiscal,NOUN
-1815790716,connotation,connotación,NOUN
-1815584182,Slovak,eslovaco ,NONE
-1815126948,inebriation,borrachera,NOUN
-1815069445,sodium hydroxide,hidróxido de sodio ,NONE
-1815028655,acetimeter,acetímetro,NOUN
-1814881492,reproduction,reproducción,NOUN
-1814881284,reproductive,reproductivo,ADJECTIVE
-1814762946,hubble constant,ley de Hubble,NOUN
-1814620410,angel shark,angelote,NOUN
-1814565933,hydrocephalus,hidrocefalia,NOUN
-1814314893,incarnate,,ADJECTIVE
-1814221248,peachfuzz,vellosidad,NOUN
-1813806411,baseboard,,NOUN
-1813469581,combatant,combatiente,NOUN
-1813461660,combative,combativo,ADJECTIVE
-1813072091,bar none,sin excepción,ADVERB
-1812988092,restlessness,agitación ,NONE
-1812883953,dative case,caso dativo,NOUN
-1812800580,measurement,medida,NONE
-1812617442,Soviet,soviético ,NONE
-1812339663,guest book,libro de visitas,NOUN
-1812041682,principal,principal,ADJECTIVE
-1812041348,principle,principio,NOUN
-1811745234,dystrophy,distrofia,NOUN
-1811619289,vientiane,Vientián,PROPOSITIOIN
-1811483803,swallow,golondrina,NOUN
-1811297584,swarthy,,ADJECTIVE
-1810498261,TTBOMK,que yo sepa,NONE
-1810095225,atherectomy,aterectomía,NOUN
-1809306274,meditation,meditación,NOUN
-1809028917,lymphoma,linfoma,NOUN
-1808964740,zebra crossing,paso de cebra,NOUN
-1808961707,skullcap,kipá,NOUN
-1808450463,highlighter,resaltador,NOUN
-1808110047,sweater,chaleco  [Southern Spain - specifically Seville,NONE
-1808030821,swedish,sueco,ADJECTIVE
-1808022715,otorhinolaryngology,otorrinolaringología,NOUN
-1807994727,sweeper,barrendero,NOUN
-1807990887,sweeten,azucarar,VERB
-1807990772,sweetie,corazón,NOUN
-1807990659,sweetly,dulcemente,NONE
-1807976299,air force,fuerza aérea,NOUN
-1807215796,subordinate,subordinado,ADJECTIVE
-1807035883,hard drive,disco duro,NOUN
-1806781929,just in case,por si acaso,NONE
-1806608508,laterally,lateralmente,ADVERB
-1806267980,just in time,justo a tiempo,ADVERB
-1806250615,flat-headed cat,gato de cabeza plana,NOUN
-1806243235,pilgrimage,peregrinación ,NONE
-1805404814,misappropriate,,VERB
-1805251419,wallflower,tímido,NOUN
-1805094539,laudableness,laudabilidad,NOUN
-1804913826,Atkins diet,régimen de Atkins ,NONE
-1804680391,decisively,decisivamente,ADVERB
-1804619919,transmitter,transmisor,NOUN
-1804285083,egghead,cara de huevo ,NONE
-1804186579,golden eagle,águila real,NOUN
-1804065198,swimmer,nadador ,NONE
-1804043852,swindle,petardear,NONE
-1804012815,trepidation,preocupación,NONE
-1803630133,arccosine,arcoseno,NOUN
-1803456383,lawn-mower,,NOUN
-1803417315,phlogiston,flogisto,NOUN
-1802763049,problematical,,ADJECTIVE
-1802761792,mirror ball,,NOUN
-1802242068,precariousness,precariedad,NOUN
-1802208154,cutthroat,degollador,NOUN
-1801175907,parthenon,Partenón,PROPOSITIOIN
-1801071173,virginal membrane,,NOUN
-1801024102,galactic,galáctico,ADJECTIVE
-1800877663,khartoum,Jartum,PROPOSITIOIN
-1800500687,vectorial,vectorial,ADJECTIVE
-1800373554,partially,en parte,NONE
-1800161093,hard labor,,NOUN
-1800037122,immediately,inmediatamente,NONE
-1800014963,sierra nevada,Sierra Nevada,PROPOSITIOIN
-1799980989,management,administración ,NONE
-1799871674,fulgurous,fulguroso,ADJECTIVE
-1799810326,partition,partición,NOUN
-1799810118,partitive,partitivo,ADJECTIVE
-1799712132,mexicanism,mexicanismo,NOUN
-1799208448,convulsion,convulsión,NOUN
-1798488529,mischievous,pícaro,NONE
-1798444439,mental illness,locura,NOUN
-1798376567,republican,,ADJECTIVE
-1798351703,anesthesiologist,anestesiólogo ,NONE
-1798074307,monogamous,monógamo,ADJECTIVE
-1798066332,Yom Kippur,Yom Kipur ,NONE
-1797818272,black vulture,,NOUN
-1797700772,piggy bank,alcancía  [Latin America,NONE
-1797554365,skedaddle,largarse,NONE
-1797520336,rhythmic,rítmico,ADJECTIVE
-1797300406,Taimyr,península de Taymyr ,NONE
-1797209152,provisional,provisional,ADJECTIVE
-1797084046,air rifle,rifle de aire,NOUN
-1796900853,Malagan,malagueño ,NONE
-1796535005,egotist,egotista,NOUN
-1796317009,amenable,receptivo,NONE
-1796051165,printshop,,NOUN
-1795905960,on the contrary,al contrario,NONE
-1795779609,allochthonous,alóctono,ADJECTIVE
-1795452264,expression,expresión,NOUN
-1795452056,expressive,expresivo,ADJECTIVE
-1795439233,expressway,,NOUN
-1794964536,talk over,,VERB
-1794876696,Cretaceous,Cretáceo ,NONE
-1793918867,at the feet of,a los pies de,NONE
-1793646742,galician,gallego,ADJECTIVE
-1793334146,Terran,terrícola ,NONE
-1793242417,Teuton,teutón ,NONE
-1792980303,pankration,pancracio,NOUN
-1792579041,citric acid,ácido cítrico,NOUN
-1792411268,lynching,linchamiento,NOUN
-1792397890,ground-effect machine,,NOUN
-1792383968,american,americano,ADJECTIVE
-1792205379,mince words,ener pelos en la lengua,VERB
-1792168396,golden ratio,número áureo,NOUN
-1792147511,working class,clase obrera,NOUN
-1792103575,green with envy,quedar mudo de envidia,ADJECTIVE
-1791831400,partridge,perdiz,NOUN
-1790916099,bar-tailed godwit,aguja colipinta,NOUN
-1790858642,Marrano,[archaic,NONE
-1790818519,gallegan,,PROPOSITIOIN
-1790545011,amethyst,amatista,NOUN
-1790517947,smartphone,inteligente,NOUN
-1788945562,Matthew,Mateo ,NONE
-1788147581,come back,volver,NONE
-1788109629,acoustic,acústico,ADJECTIVE
-1787064341,americanisation,americanización,NOUN
-1786780205,sulfuric,sulfúreo,NONE
-1786566891,merry-go-round,caballitos  ,NONE
-1786545697,attainable,alcanzable,NONE
-1786294028,three o'clock,las tres,NOUN
-1786210151,x-ray crystallography,cristalografía de rayos X,NOUN
-1786185245,attainment,logro ,NONE
-1785619843,exultant,exultante,NONE
-1785494376,favorable,favorable,ADJECTIVE
-1785379680,captivating,arrebatador,ADJECTIVE
-1784767678,emphasize,subrayar,NONE
-1784636712,amanuensis,amanuense,NOUN
-1784228671,Tongan,tongano ,NONE
-1783783676,reconstruct,reconstruir,VERB
-1783448597,more than one can poke a stick at,,ADJECTIVE
-1783370982,androstenedione,androstediona,NOUN
-1782550297,Great Dane,dogo alemán ,NONE
-1782418765,Luxembourger,luxemburgués ,NONE
-1782302538,predilection,predilección,NOUN
-1782299181,monophosphide,monofosfuro,NOUN
-1782210391,favourite,,ADJECTIVE
-1781705098,intergalactic,intergaláctico,ADJECTIVE
-1781695509,galvanic,galvánico,ADJECTIVE
-1781650554,thermotherapy,termoterapia,NOUN
-1781004809,invisibility,invisibilidad,NOUN
-1780988992,eschatological,escatológico,ADJECTIVE
-1780420934,renal corpuscle,corpúsculo renal,NOUN
-1780121064,sanctimonious,mojigato,NONE
-1779912032,sanitary towel,,NOUN
-1779406826,across the board,generalizado,ADJECTIVE
-1779064140,Tuareg,targuí ,NONE
-1778693024,lustfully,lascivamente,NONE
-1778542434,Tuscan,toscano ,NONE
-1778221260,arachnid,arácnido,NOUN
-1777841643,q fever,fiebre Q,NOUN
-1777404342,no thank you,no,NONE
-1777094252,Southern Cross,Crux ,NONE
-1776864921,super bowl,Súper Tazón,PROPOSITIOIN
-1776712163,exuviate,mudar,VERB
-1776650178,nasturtium,capuchina,NOUN
-1776135375,so to speak,por así decirlo,ADVERB
-1775745772,customarily,,ADVERB
-1775655636,pincushion,agujero ,NONE
-1775588138,reorganize,reorganizar,VERB
-1775540926,unfortunately,desafortunadamente,NONE
-1775406741,postscript,posdata,NOUN
-1775334915,fresnel lamp,,NOUN
-1775240405,mother's day,Día de la Madre,NOUN
-1775055067,bottleneck,cuello de botella,NOUN
-1774341004,subtraction,resta,NOUN
-1773470323,imprisonment,encarcelamiento,NOUN
-1773387001,phenomenon,fenómeno,NOUN
-1772690384,binoculars,gemelos ,NONE
-1772546854,echolocation,ecolocalización,NOUN
-1772467395,restaurant,restaurante ,NONE
-1772390923,funeral director,,NOUN
-1772200937,stillbirth,parto muerto ,NONE
-1772049845,aral sea,mar de Aral,PROPOSITIOIN
-1771965786,physiologic,,ADJECTIVE
-1771873547,misanthropic,misantrópico,ADJECTIVE
-1770619908,mischievously,malvadamente,ADVERB
-1769810050,narcissism,narcisismo,NOUN
-1769810043,narcissist,narciso ,NONE
-1769649804,battering ram,ariete,NOUN
-1769622978,interrogative pronoun,pronombre interrogativo,NOUN
-1769573485,duodecimal,duodécimo,ADJECTIVE
-1769533720,peter pan syndrome,síndrome de Peter Pan,NOUN
-1769389658,underneath,abajo,ADVERB
-1769203474,aramaean,arameo,ADJECTIVE
-1769080200,breezefly,,NOUN
-1769046389,woodchuck,marmota (americana),NOUN
-1768975600,fraudulent,fraudulento,ADJECTIVE
-1768832281,proto-indo-european,protoindoeuropeo,PROPOSITIOIN
-1768777635,willingly,de buena gana,ADVERB
-1768444206,westernization,occidentalización,NOUN
-1768321498,gameplay,jugabilidad,NOUN
-1768193636,malefactor,malhechor ,NONE
-1767742225,housing estate,gran conjunto ,NONE
-1767649276,underpants,calzoncillos ,NONE
-1766988828,lollapalooza,excepcional,NONE
-1766642002,closemouthed,taciturno,NONE
-1766516480,carolinian,,ADJECTIVE
-1766469038,Southern Ocean,océano Antártico ,NONE
-1766368400,earthenware,loza ,NONE
-1766217658,penitentiary,penitenciaría,NOUN
-1766115065,sacred ibis,ibis sagrado,NOUN
-1765827425,oceanic whitetip shark,tiburón oceánico ,NONE
-1765796948,underrated,subestimado,ADJECTIVE
-1765638629,capitalism,capitalismo,NOUN
-1765638622,capitalist,capitalista,ADJECTIVE
-1765400424,capitation,,NOUN
-1764921351,sky blue,celeste,ADJECTIVE
-1764818246,underscore,guion bajo,NOUN
-1764554162,Norwegian,noruego ,NONE
-1764503637,super-niño,super-Niño,NOUN
-1764325378,understand,entender,VERB
-1764306447,understudy,suplente,NOUN
-1764275977,bulimia nervosa,bulimia,NOUN
-1763386429,down's syndrome,síndrome de Down,NOUN
-1763173516,rejuvenation,rejuvenecimiento,NOUN
-1762839071,scapegoat,chivo expiatorio,NOUN
-1762760863,noble metal,metal noble,NOUN
-1762607425,emphysema,enfisema,NOUN
-1762599501,vitamin a,vitamina A,NOUN
-1762426037,master of ceremonies,animador,NOUN
-1762268045,willpower,fuerza de voluntad,NOUN
-1762175919,ultimate,máximo,NONE
-1762133584,warmonger,belicista,NONE
-1762100633,long-lived,longevo,ADJECTIVE
-1761432486,two hundred,doscientos ,NONE
-1761410517,spinning top,peonza,NOUN
-1761307014,Aromanian,arumano ,NONE
-1761256862,garbage collector,basurero,NOUN
-1761179329,underwater,sumergido,ADJECTIVE
-1760845812,human being,ser humano ,NONE
-1760763974,underworld,infierno,NOUN
-1760683001,underwrite,suscribir,VERB
-1760525673,woodlouse,cochinilla de humedad ,NONE
-1760100865,looking glass,,NOUN
-1760073325,heir apparent,heredero forzoso ,NONE
-1759929818,acute accent,acento agudo,NOUN
-1759918563,christmas present,regalo de Navidad,NOUN
-1759172834,sumerian,sumerio,NOUN
-1759119106,hygroscopic,higroscópico,ADJECTIVE
-1758853398,anglosphere,Angloesfera,PROPOSITIOIN
-1758746108,rock group,grupo de rock ,NONE
-1757157625,deoxysugar,,NOUN
-1756558791,Navarrese,navarro ,NONE
-1756370605,chinese lantern,,NOUN
-1756279487,native language,lengua materna ,NONE
-1755923408,theologian,teólogo,NOUN
-1755922844,theologist,teólogo ,NONE
-1755786494,march to the beat of a different drum,marchar al ritmo de un diferente tambor,VERB
-1755749496,accretion,aumento,NONE
-1755748902,friendship,amistad,NOUN
-1755127681,emilia-romagna,Emilia-Romaña,PROPOSITIOIN
-1755001014,sprinkle,rociar,NONE
-1754720673,Clymene,Clímene,NONE
-1754694547,embolization,embolización,NOUN
-1754015503,electoral district,circunscripción electoral ,NONE
-1753180783,beautiful,bravo,ADJECTIVE
-1753044832,scratch together,,VERB
-1753001536,erotophobia,erotofobia,NOUN
-1752861288,city block,manzana,NOUN
-1752739437,photoelectric cell,célula fotoeléctrica,NOUN
-1752517514,barbados,Barbados,PROPOSITIOIN
-1752504262,barbaric,barbárico,NONE
-1752399139,barbecue,barbacoa ,NONE
-1752157190,fenugreek,alholva ,NONE
-1750304614,orion's belt,las Tres Marias,PROPOSITIOIN
-1749902589,inside joke,broma privada ,NONE
-1749872055,eidetic,eidético,ADJECTIVE
-1749720423,bareback,a pelo,ADVERB
-1749700667,barebutt,nalgas peladas ,NONE
-1749587424,barefoot,descalzo,NONE
-1749508772,dumbfound,dejar boquiabierto,NONE
-1749389803,tenebrous,tenebroso,ADJECTIVE
-1748933416,victoriously,victoriosamente,ADVERB
-1748671746,daughterling,hijita,NOUN
-1748593853,counterclockwisely,,ADVERB
-1748366661,biometrics,biometría,NOUN
-1748335549,holy ghost,Espíritu Santo,PROPOSITIOIN
-1748156880,antrectomy,antrectomía,NOUN
-1748051411,holy grail,santo grial,PROPOSITIOIN
-1747679999,suicide bomber,hombre bomba,NONE
-1747487323,emphatically,tajantamente,NONE
-1746968816,sierra leonian,sierraleonés,ADJECTIVE
-1746614540,overshadow,asombrar,VERB
-1746298546,given name,nombre ,NONE
-1745952407,human right,derecho humano,NOUN
-1745895609,gap year,año sabático,NOUN
-1745452984,guesthouse,,NOUN
-1744792539,metaphorical,metafórico ,NONE
-1744775855,literature,literatura,NOUN
-1744755557,maternal grandmother,abuela materna,NOUN
-1743938703,linguicide,lingüicidio,NOUN
-1743916588,stepdaughter,hijastra,NOUN
-1743760060,ecumenism,ecumenismo,NOUN
-1743703365,unmarried,soltero,ADJECTIVE
-1743689887,arbitral,arbitral,ADJECTIVE
-1743631895,ball lightning,rayo globular,NOUN
-1743505095,spearhead,caudillo,NOUN
-1743451323,linguistic,lingüístico,ADJECTIVE
-1743360865,barn owl,lechuza,NOUN
-1743016407,symptom,síntoma,NOUN
-1742552250,synagog,sinagoga,NOUN
-1742543479,synapse,sinapsis,NOUN
-1742484951,syncope,síncope,NOUN
-1742422745,synergy,sinergía,NOUN
-1742128133,synonym,sinónimo,NOUN
-1741979600,glass harmonica,armónica de cristal,NOUN
-1741943677,menstrual cup,copa menstrual,NOUN
-1741436330,barnacle,,NOUN
-1741312354,collection,recogida ,NONE
-1741312146,collective,colectivo,ADJECTIVE
-1741224870,embroidery,bordado,NOUN
-1741052339,unconditional,incondicional,ADJECTIVE
-1740743114,empirical,empírico,ADJECTIVE
-1740597547,ancient greece,Grecia antigua,PROPOSITIOIN
-1740557258,sod's law,ley de la indefectible mala voluntad de los objectos inanimados,NOUN
-1740549254,soupspoon,,NOUN
-1740193012,pseudocyesis,pseudociesis,NOUN
-1740123373,baroness,baronesa,NOUN
-1740079199,puss in boots,el gato con botas,PROPOSITIOIN
-1739934288,rinderpest,peste bovina,NOUN
-1739406059,telegraphy,telegrafía,NOUN
-1739261748,preposition,preposición,NOUN
-1738974866,tea leaf,hoja de té,NOUN
-1738786069,tea room,salón de té,NOUN
-1738763002,tea shop,,NOUN
-1738723922,tea tree,,NOUN
-1738613361,syringe,jeringa,NOUN
-1738220836,arboreal,arbóreo,ADJECTIVE
-1737966929,ganglion,ganglio,NOUN
-1737792067,gangrene,gangrena,NOUN
-1737748127,gangster,gángster ,NONE
-1737742263,barracks,cuartel,NOUN
-1737606497,barrette,prendedor de pelo ,NONE
-1737592796,asbestosis,asbestosis,NOUN
-1737567966,self-help,autoayuda,NOUN
-1737438893,self-love,amor propio,NOUN
-1737361023,systole,sístole,NOUN
-1737070166,astraddle,a horcajadas,ADVERB
-1736947823,pillowcase,,NOUN
-1736858117,astrakhan,Astracán,PROPOSITIOIN
-1736612518,peregrinate,peregrinar,VERB
-1736565211,moon letter,letra lunar,NOUN
-1736460895,pillowslip,,NOUN
-1736136753,involucre,involucro,NOUN
-1736108978,loneliness,soledad,NOUN
-1736030986,native speaker,hablante nativo,NOUN
-1736013622,burundian,burundés,ADJECTIVE
-1735981561,cooper's hawk,azor de Cooper,NOUN
